event_id,title,description,url
evt_001,1.Open House New York,"Admit it, are you a nosy New Yorker? Same here. Then you can't missOpen House New Yorkthis year. The annual event opens the doors of typically off-limit spaces during its festival running from October 17 through 19. This year, more than 300 sites are on the roster, including an exclusive rooftop garden in Rockefeller Center, a city compost facility, an Ellis Island boat and a private gallery in the World Trade Center. Even sites that are public, like Wagner Park and Astoria Pool, offer special behind-the-scenes experiences. Nearly half of the festival is fully free and open to the public—no advance registration or tickets are required. OnOpen House New York's website, you can filter to find places that fit your area of interest, such as affordable housing, building with steel and family-friendly spots. Plus, you can search for places in your borough, at certain times and that offer accessible features.",https://www.timeout.com/newyork/news/open-house-2025-300-seriously-cool-nyc-sites-you-can-explore-that-are-typically-closed-to-the-public-092625
evt_002,2.Tompkins Square Park Halloween Dog Parade,"The Village Halloween Parade is fun and all, but does it have a plethora of puppies in adorable outfits? For that, you’ll have to head to this annual dog parade held this year on Sunday, October 19 (this year marks 35 years of this amazing event!). The getups are remarkably elaborate and conceptual—no surprise given the prizes up for grabs for Best in Show. This year's parade will feature adoptable rescue dogs from ASPCA, Social Tees, and Pup Starz who will serve as grand marshals. As a special event this year, artistJordan Sondlerwill be popping up at Romeo's (118 St Marks) offering custom pet portraits during the parade. You can book ahead using the linkhere. Festivities run from from 1-4pm. Though the exact parade route hasn't been announced, it typically runs on Avenue B from E. 6th Street to E. 14th Street, with staging on E. 7th Street between Avenue A and Avenue B. Follow along on theTompkins Square Park Dog Run's Instagram accountfor more info as the date approaches. Whether you're competing to be top dog or just watching from the sidelines, this canine contest can't be missed.",https://www.timeout.com/newyork/things-to-do/tompkins-square-park-halloween-dog-parade
evt_003,3.Gowanus Open Studios,"Stroll through Gowanus to visit the art studios of more than 500 artists, offering a rare glimpse inside former factories, warehouses and studio buildings of this vibrantneighborhood at the 29th Annual Gowanus Open Studios on October 18 and 19. Artists will be on hand to discuss their work, share their processes and showcase their latest projects. This year, get a chance to explore the first group of subsidized art studios as part of the Gowanus Rezoning are open; artists have moved in and ready to show visitors what they're working on. Gowanus Open Studios will feature venues and studios from Pacific St. to 19th St. and from Smith St. to Fifth Ave. More than 10,000 printed maps will be distributed across the neighborhood to help visitors navigate the various locations. A digital map and directory of artists is available onartsgowanus.org.",https://www.timeout.com/newyork/art/gowanus-open-studios
evt_004,"4.""Renoir’s Drawings"" at The Morgan","Renoir’s sketchbook is moving into the spotlight. TheMorgan Library & Museumis about to do something no New York institution has attempted in more than a century: dedicate an entire exhibition to Pierre-Auguste Renoir’s works on paper. “Renoir’s drawings reveal an artist of tremendous sensitivity and range,” said Colin B. Bailey, the Morgan’s director and curator of the show. And he’s not exaggerating.Renoir Drawingswill bring together more than 100 works—pastels, watercolors, prints and even a plaster sculpture—offering a rare chance to see the Impressionist master beyond his sun-dappled oils. The last time anyone staged a show like this was in Paris in 1921, which makes the Morgan’s exhibition a bona fide art-world event.Renoir Drawingsruns October 17, 2025, through February 8, 2026, at the Morgan Library & Museum.",https://www.timeout.com/newyork/news/renoirs-rarely-seen-drawings-will-go-on-view-at-the-morgan-this-fall-091925
evt_005,5.The Amazing Maize Maze,"For the past 50 years, the Queens County Farm Museum has served as a rural oasis within the New York City limits. And what better way to celebrate an anniversary than by creating a complex corn maze for New Yorkers to get delightfully lost in? The Amazing Maize Mazeis back this fall with a sunburst design celebrating five decades of the museum's existence. Expect plenty of twists, turns and tricks inside this three-acre living labyrinth. It's available to visit on select days through October 26.",https://www.timeout.com/newyork/news/the-amazing-maize-maze-is-back-in-queens-this-fall-with-a-tricky-three-acre-labyrinth-101025
evt_006,6.Trick-or-Streets,"Prepare your costumes and your crosswalks—Halloween is about to take over the streets. The city’s Department of Transportation just announced the return of Trick-or-Streets, its annualHalloween celebrationthat turns Open Streets and plazas across the five boroughs into car-free zones for candy, costumes and community. This year’s edition will be the biggest yet, with a record 137 events (and counting) planned between October 17 and October 31. Expect everything from pumpkin patches and hay bale photo ops to live performances, games andDía de los Muertos celebrations.A full list of Trick-or-Streets events and participating locations will be availableon the NYC DOT website—because in this city, Halloween is best celebrated curbside.",https://www.timeout.com/newyork/news/nyc-will-open-100-streets-for-free-halloween-celebrations-starting-next-week-100925
evt_007,7.Longest Table at Gotham Park,"Clear your calendar, grab your casserole dish and prepare to dine al fresco under one of New York’s most iconic landmarks. On Saturday, October 18, Gotham Park will transform the space beneath theBrooklyn Bridgeinto one uninterrupted, communal dining table for the first-everLongest Table at Gotham Park, a free afternoon potluck where the only ticket required is something to share. From noon to 3:30 pm, the park’s north sidewill transform into a four-acre public space filled with tables, chairs and neighbors, all gathered to celebrate connection through food. Guests are encouraged to bring a dish, a drink or even a decorative centerpiece to add to the mix. After lunch, the festivities will continue with a performance by Teatro Grattacielo’s opera ensemble and a guided conversation on community, culture and creativity.",https://www.timeout.com/newyork/news/a-crazy-long-community-potluck-table-will-be-stretching-out-underneath-the-brooklyn-bridge-next-weekand-its-free-to-join-100725
evt_008,"8.""Monet and Venice"" at Brooklyn Museum","For those who have long romanticized the floating city of Venice, theBrooklyn Museum's new exhibit will only stoke those desires. Featuring a rare reunion of Claude Monet's iconic Venetian paintings, visitors are encouraged to ""travel"" to this dreamy destination and immerse themselves in art inspired by the city's timeless beauty. ""Monet and Venice"" engages audiences through multi-sensoryelements, including an original symphonic score inspired by Monet's Venice paintings by the Brooklyn Museum's composer in residence, Niles Luther.The collection marks New York's largest museum show dedicated to Monet in over 25 years, featuring 100 artworks, books and memorabilia, including 19 of Monet's paintings of Venice. It's the first dedicated exploration of these pieces since their debut in 1912. See it until February 1, 2026.",https://www.timeout.com/newyork/news/first-look-discover-the-serenity-of-venice-through-nycs-largest-monet-show-in-25-years-100825
evt_009,9.Not Your Standard Bingo: Halloween Edition,"This isn't your grandma's Bingo game. Instead, head to the The Standard High Linefor three nights of Bingo with aspookytwist this October.The Halloween edition of Not Your Standard Bingo is happening at The Standard High Line every Sunday at 9pm until October 26. Book a table for you and your crew for one of the following nights: October 19th isHalloweentownBingoand October 26 wraps up withAddams FamilyBingo.",https://www.timeout.com/newyork/things-to-do/not-your-standard-bingo
evt_010,10.Dear New York at Grand Central Terminal,"Grand Central Terminalhas seen a lot in its 112 years—commuters, film shoots, flash mobs,the cast ofSeverance—but never this. For two weeks this fall, the landmark will transform into the city’s largest public art installation in decades, courtesy ofHumans of New York creator Brandon Stanton. Now through October 19, the projectDear New Yorkwill take over the entire terminal, clearing Grand Central of advertising for the first time in its history. Instead of shoe ads and train alerts, more than 150 digital screens will pulse with thousands of portraits and stories from Stanton’s 15-year archive, creating what organizers call a “visual love letter” to the city.",https://www.timeout.com/newyork/news/one-of-nycs-biggest-ever-art-installations-is-coming-to-grand-central-with-massive-50-foot-projections-and-free-programming-100625
evt_011,11.The Met's rooftop commission,"Even if you don't know how to play music, it’s practically impossible not to reach out and strum or pluck the strings when an instrument appears in front of you—or at the very least, expect that a musician will appear to play it. That’s what makes these new abstract artworks by Jennie C. Jones so mind-bending. Three massive instrument sculptures now sit on the Metropolitan Museum of Art’s rooftop in Jones’ latest work titled “Ensemble.” But only one of the instruments makes sound when it’s activated by the wind. The other two don’t make sound at all, even though they’re capable of doing so. That's exactly the point. Instead, their potential for sound and the tension between dormancy and activation is where they hold power. Go see these cool sculptures on the Met’s gorgeous rooftop through October 19.",https://www.timeout.com/newyork/news/a-first-look-at-the-metropolitan-museum-of-arts-last-rooftop-exhibition-for-a-while-041425
evt_012,12.Lincoln Center's Festival of Firsts,"Lincoln Center is throwing a party for the bold and the brand-new—and you’re invited, no ticket required. Now through through October 23, the David Rubenstein Atrium is being taken over by theFestival of Firsts, a spree of free performances that spotlight artists making their U.S. and NYC debuts, launching albums, premiering works or stepping onto the Lincoln Center stage for the first time. The fourth annual edition leans into the unexpected. One night you might catch a drag-fueled rock cabaret staged as a gothic Halloween fantasia; the next, an intimate multimedia theater piece straight from Chile. With every performance free and first-come, first-served, the Festival of Firsts offers a rare chance to catch rising artists at turning points in their careers—all under one roof.",https://www.timeout.com/newyork/news/lincoln-center-just-announced-a-massive-free-culture-festival-this-month-and-it-looks-pretty-great-092925
evt_013,"13.""Frankenstein"" film","The king of creature features, Guillermo del Toro resurrects Mary Shelley’s literary creation in all its full-on gaudy gothic glory. Oscar Isaac is Baron Victor Frankenstein, who is rescued from a monster on the ice by the crew of a ship of polar explorers. He is a man with a tale to tell of how he got there: but, like Dewey Cox inWalk Hard, he has to start at the very beginning: with a childhood of a bad daddy (Charles Dance) and grief that drives an ambition to conquer death itself. Isaac is superb as Victor, as much an artist as a scientist; his gruesome work accompanied by Alexander Desplat's joyful waltz as he peels skin and gets elbow deep in viscera. Del Toro makes no secret of where his sympathy lies and who the real monsters are, but there are surprises here. Not least of which is how moved you might feel in the end. It's in theaters as of this weekend.",https://www.timeout.com/movies/frankenstein-review-2025
evt_014,14.FAD Market,"Shop 'til you drop at FAD Market, a curated fashion, art and design pop-up marketplace, which is back for 2025. Expect to see your favorite makers plus brand new creatives to help you live smarter, gift better and support local businesses. FAD—which stands for Fashion, Art and Design—takes over different venues with a horde of independent vendors and creators.Admission is free and dogs are welcome! Here's what's next:",https://www.timeout.com/newyork/things-to-do/fad-market
